Time,BAFU_2243_AbflussRadarBruecke
2021-07-28T23:10:00Z,244.969
2021-07-28T23:15:00Z,243.67
2021-07-28T23:20:00Z,244.319
2021-07-28T23:25:00Z,244.752
2021-07-28T23:30:00Z,243.237
2021-07-28T23:35:00Z,240.217
2021-07-28T23:40:00Z,240.862
2021-07-28T23:45:00Z,238.069
2021-07-28T23:50:00Z,238.283
2021-07-28T23:55:00Z,237.212
2021-07-29T00:00:00Z,239.142
2021-07-29T00:05:00Z,234.649
2021-07-29T00:10:00Z,231.462
2021-07-29T00:15:00Z,217.244
2021-07-29T00:20:00Z,208.051
2021-07-29T00:25:00Z,203.62
2021-07-29T00:30:00Z,205.025
2021-07-29T00:35:00Z,204.021
2021-07-29T00:40:00Z,206.032
2021-07-29T00:45:00Z,205.427
2021-07-29T00:50:00Z,205.628
2021-07-29T00:55:00Z,209.063
2021-07-29T01:00:00Z,210.892
2021-07-29T01:05:00Z,211.911
2021-07-29T01:10:00Z,212.728
2021-07-29T01:15:00Z,213.956
2021-07-29T01:20:00Z,212.32
2021-07-29T01:25:00Z,211.707
2021-07-29T01:30:00Z,211.096
2021-07-29T01:35:00Z,212.116
2021-07-29T01:40:00Z,210.282
2021-07-29T01:45:00Z,210.892
2021-07-29T01:50:00Z,210.486
2021-07-29T01:55:00Z,210.892
2021-07-29T02:00:00Z,212.524
2021-07-29T02:05:00Z,211.503
2021-07-29T02:10:00Z,213.341
2021-07-29T02:15:00Z,210.282
2021-07-29T02:20:00Z,211.096
2021-07-29T02:25:00Z,210.079
2021-07-29T02:30:00Z,212.32
2021-07-29T02:35:00Z,211.707
2021-07-29T02:40:00Z,210.892
2021-07-29T02:45:00Z,211.096
2021-07-29T02:50:00Z,211.911
2021-07-29T02:55:00Z,210.486
2021-07-29T03:00:00Z,210.486
2021-07-29T03:05:00Z,208.456
2021-07-29T03:10:00Z,209.469
2021-07-29T03:15:00Z,209.672
2021-07-29T03:20:00Z,209.876
2021-07-29T03:25:00Z,208.456
2021-07-29T03:30:00Z,207.444
2021-07-29T03:35:00Z,205.628
2021-07-29T03:40:00Z,207.04
2021-07-29T03:45:00Z,204.824
2021-07-29T03:50:00Z,206.636
2021-07-29T03:55:00Z,205.427
2021-07-29T04:00:00Z,204.623
2021-07-29T04:05:00Z,205.025
2021-07-29T04:10:00Z,205.225
2021-07-29T04:15:00Z,205.628
2021-07-29T04:20:00Z,203.419
2021-07-29T04:25:00Z,201.42
2021-07-29T04:30:00Z,210.079
2021-07-29T04:35:00Z,245.186
2021-07-29T04:40:00Z,262.789
2021-07-29T04:45:00Z,243.67
2021-07-29T04:50:00Z,206.435
2021-07-29T04:55:00Z,190.781
2021-07-29T05:00:00Z,187.872
2021-07-29T05:05:00Z,183.836
2021-07-29T05:10:00Z,183.454
2021-07-29T05:15:00Z,184.794
2021-07-29T05:20:00Z,183.644
2021-07-29T05:25:00Z,181.358
2021-07-29T05:30:00Z,181.738
2021-07-29T05:35:00Z,182.119
2021-07-29T05:40:00Z,183.263
2021-07-29T05:45:00Z,182.691
2021-07-29T05:50:00Z,181.928
2021-07-29T05:55:00Z,183.263
2021-07-29T06:00:00Z,182.882
