Time,BAFU_2473_AbflussPneumatikFluss
2021-07-19T14:05:00Z,526.379
2021-07-19T14:10:00Z,525.846
2021-07-19T14:15:00Z,524.78
2021-07-19T14:20:00Z,524.247
2021-07-19T14:25:00Z,523.714
2021-07-19T14:30:00Z,523.181
2021-07-19T14:35:00Z,522.383
2021-07-19T14:40:00Z,521.85
2021-07-19T14:45:00Z,521.052
2021-07-19T14:50:00Z,520.255
2021-07-19T14:55:00Z,519.192
2021-07-19T15:00:00Z,518.13
2021-07-19T15:05:00Z,518.13
2021-07-19T15:10:00Z,517.599
2021-07-19T15:15:00Z,517.599
2021-07-19T15:20:00Z,518.13
2021-07-19T15:25:00Z,517.865
2021-07-19T15:30:00Z,517.599
2021-07-19T15:35:00Z,517.069
2021-07-19T15:40:00Z,516.273
2021-07-19T15:45:00Z,515.213
2021-07-19T15:50:00Z,514.153
2021-07-19T15:55:00Z,512.829
2021-07-19T16:00:00Z,512.3
2021-07-19T16:05:00Z,511.507
2021-07-19T16:10:00Z,509.658
2021-07-19T16:15:00Z,508.073
2021-07-19T16:20:00Z,506.755
2021-07-19T16:25:00Z,505.437
2021-07-19T16:30:00Z,504.121
2021-07-19T16:35:00Z,502.543
2021-07-19T16:40:00Z,501.755
2021-07-19T16:45:00Z,499.916
2021-07-19T16:50:00Z,498.604
2021-07-19T16:55:00Z,497.293
2021-07-19T17:00:00Z,496.246
2021-07-19T17:05:00Z,494.675
2021-07-19T17:10:00Z,492.845
2021-07-19T17:15:00Z,491.539
2021-07-19T17:20:00Z,489.973
2021-07-19T17:25:00Z,488.409
2021-07-19T17:30:00Z,486.846
2021-07-19T17:35:00Z,484.245
2021-07-19T17:40:00Z,482.168
2021-07-19T17:45:00Z,480.353
2021-07-19T17:50:00Z,477.763
2021-07-19T17:55:00Z,475.177
2021-07-19T18:00:00Z,472.338
2021-07-19T18:05:00Z,469.247
2021-07-19T18:10:00Z,466.162
2021-07-19T18:15:00Z,463.34
2021-07-19T18:20:00Z,461.035
2021-07-19T18:25:00Z,458.478
2021-07-19T18:30:00Z,455.926
2021-07-19T18:35:00Z,452.615
2021-07-19T18:40:00Z,450.327
2021-07-19T18:45:00Z,447.535
2021-07-19T18:50:00Z,445.255
2021-07-19T18:55:00Z,442.979
2021-07-19T19:00:00Z,440.958
2021-07-19T19:05:00Z,438.689
2021-07-19T19:10:00Z,436.926
2021-07-19T19:15:00Z,434.664
2021-07-19T19:20:00Z,432.906
2021-07-19T19:25:00Z,431.15
2021-07-19T19:30:00Z,429.398
2021-07-19T19:35:00Z,427.147
2021-07-19T19:40:00Z,425.898
2021-07-19T19:45:00Z,424.401
2021-07-19T19:50:00Z,422.906
2021-07-19T19:55:00Z,421.661
2021-07-19T20:00:00Z,420.666
2021-07-19T20:05:00Z,420.169
2021-07-19T20:10:00Z,419.423
2021-07-19T20:15:00Z,418.678
2021-07-19T20:20:00Z,418.181
2021-07-19T20:25:00Z,418.181
2021-07-19T20:30:00Z,417.933
2021-07-19T20:35:00Z,418.181
2021-07-19T20:40:00Z,418.429
2021-07-19T20:45:00Z,418.429
2021-07-19T20:50:00Z,418.926
2021-07-19T20:55:00Z,419.175
2021-07-19T21:00:00Z,419.672
2021-07-19T21:05:00Z,419.672
2021-07-19T21:10:00Z,420.169
2021-07-19T21:15:00Z,420.666
2021-07-19T21:20:00Z,421.412
2021-07-19T21:25:00Z,421.412
